problem_name,mechanistic_setting,dataset,sampling_strategy,par_row,array_nr,epochs_adam,epochs_bfgs,lr_adam,stepnorm_bfgs,λ_reg,act_fct,hidden_layers,hidden_neurons,tolerance,MSE,nMSE,runtime,loss,negLL
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,417,500,1000,0.0001,1E-05,100,rbf,3,4,1E-12,0.021592408135023,0.069769296338404,18.69195,-361.325518393005,-367.583225622019
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,537,500,1000,0.01,0.001,100,gelu,1,8,1E-12,0.001601160475383,0.003457080136513,8.62738333333333,-632.626050672408,-674.921743573365
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,530,500,1000,0.0001,1E-05,1,gelu,1,8,1E-12,0.001090677198607,0.001764911944709,9.59005,-695.799817048133,-697.129717398157
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,496,500,1000,0.1,0.01,0.001,gelu,1,4,1E-12,0.000535919486899,0.001010447654945,12.4852166666667,-736.304216176109,-736.340184518526
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,542,500,1000,0.1,0.01,1,gelu,1,8,1E-12,0.000289356797469,0.000774144744265,8.43813333333333,-779.152419655658,-780.741485662611
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,497,500,1000,0.0001,1E-05,100,gelu,2,4,1E-12,0.002011220832651,0.004894081986939,12.3772833333333,-607.712588811818,-655.429563437124
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,502,500,1000,0.001,0.0001,1,gelu,2,4,1E-12,0.002954605699247,0.010213796344614,12.5304166666667,-627.393663761607,-629.153315372358
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,508,500,1000,0.01,0.001,0.001,gelu,2,4,1E-12,0.000454543970485,0.001280323979468,12.67555,-768.965264172559,-768.966815192379
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,423,500,1000,0.001,0.0001,0.01,rbf,3,4,1E-12,0.000518146828713,0.001288460332273,20.6853,-749.029077724266,-749.03866628094
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,533,500,1000,0.001,0.0001,100,gelu,1,8,1E-12,0.001450477722086,0.003099684254405,11.19585,-645.850560047767,-683.337850749563
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,521,500,1000,0.01,0.001,100,gelu,3,4,1E-12,0.019663085051177,0.052012595055601,13.00185,-362.580170687364,-370.658770380177
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,525,500,1000,0.1,0.01,100,gelu,3,4,1E-12,0.020223616059464,0.051606199048382,12.699,-362.884778888522,-370.344005959421
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,538,500,1000,0.01,0.001,1,gelu,1,8,1E-12,0.000509837941693,0.001374665777723,11.3098833333333,-768.233718041475,-770.574857046769
